coverage;ecli;id;issued;procedure;spatial;subject;summary;title;type
NL;ECLI:NL:RBAMS:2023:1341;ouduqurs-pdjp-jumf-hyk8-8qt2wc8z6wsj;06/02/2023;Hoger beroep;Amsterdam;Civiel recht;In deze rechtszaak werd milieuactivist Alex Mitchell beschuldigd van burgerlijke ongehoorzaamheid tijdens een protest tegen de bouw van een omstreden oliepijplijn. Mitchell en andere demonstranten blokkeerden de bouwplaats en werden gearresteerd wegens illegale acties. De zaak bracht het recht op vreedzaam protest in conflict met de openbare orde. Na een proces waarbij getuigenissen werden afgelegd over de noodzaak van milieubescherming, werd Mitchell uiteindelijk vrijgesproken, wat leidde tot een brede discussie over het evenwicht tussen activisme en openbare orde.;ECLI:NL:RBAMS:2023:1341, Amsterdam, 2023-02-06;Uitspraak
NL;ECLI:NL:RBAMS:2023:5583;vwk4b655-rek2-8y52-p816-nvys1ryotr6x;18/02/2023;Kort geding;Amsterdam;Civiel recht;De rechtszaak tegen de gevierde kunstenaar Elena Vega betrof beschuldigingen van plagiaat en inbreuk op het auteursrecht. Een andere kunstenaar beweerde dat Vega haar kunstwerk had gekopieerd en tentoongesteld als haar eigen creatie, wat leidde tot een juridisch geschil. Tijdens het proces werden kunstkenners en experts opgeroepen om te getuigen over de oorsprong van het kunstwerk. Uiteindelijk werd Vega schuldig bevonden aan inbreuk op het auteursrecht en werd ze gedwongen om schadevergoeding te betalen aan de oorspronkelijke kunstenaar.;ECLI:NL:RBAMS:2023:5583, Amsterdam, 2023-02-18;Uitspraak
NL;ECLI:NL:RBAMS:2023:4954;dbzbrbm8-e56x-r6kl-h1d5-lfbs52r9ntdt;26/04/2023;Kort geding;Amsterdam;Civiel recht;"De rechtszaak draaide om grootouders die de voogdij over hun kleinkinderen opeisten nadat hun ouders tragisch omkwamen bij een auto-ongeluk. De grootouders betoogden dat ze de meest geschikte verzorgers waren voor de kinderen, terwijl de voogdijprocedure werd betwist door andere familieleden. Na emotionele getuigenissen van alle betrokken partijen oordeelde de rechtbank uiteindelijk dat het in het belang van de kinderen was om bij hun grootouders te blijven, wat leidde tot een langdurige zorgregeling.
";ECLI:NL:RBAMS:2023:4954, Amsterdam, 2023-04-26;Uitspraak
NL;ECLI:NL:RBAMS:2023:8812;kr2ascaj-o6nl-smb7-tnvm-y6zwmngdnim5;21/07/2023;Wraking;Amsterdam;Civiel recht;De zaak tegen de beroemde sportster Max Turner schokte de sportwereld. Turner werd beschuldigd van het gebruik van verboden prestatieverhogende middelen tijdens een nationale kampioenschapswedstrijd. Het proces draaide om bewijs van dopinggebruik, getuigenissen van coaches en medische experts. Turner bleef volhouden dat hij onschuldig was, maar werd uiteindelijk schuldig bevonden en geschorst van de sportcompetitie, wat zijn carrière drastisch beïnvloedde.;ECLI:NL:RBAMS:2023:8812, Amsterdam, 2023-07-21;Uitspraak
NL;ECLI:NL:RBAMS:2023:6557;ndpoxvfv-zazw-rgtw-kl0s-ej9uxlucgv0o;03/05/2023;Kort geding;Amsterdam;Civiel recht;De rechtszaak tussen NovaTech en QuantumSystems was een juridische strijd over octrooirechten en technologische innovaties. Beide bedrijven beschuldigden elkaar van inbreuk op patenten en het stelen van intellectuele eigendom. Het proces onthulde complexe technologische details en betwiste octrooirechten. Uiteindelijk werd een schikking bereikt waarin beide bedrijven bepaalde technologieën konden gebruiken onder strikte voorwaarden, wat de basis legde voor verdere innovatie in de branche.;ECLI:NL:RBAMS:2023:6557, Amsterdam, 2023-05-03;Uitspraak
NL;ECLI:NL:RBAMS:2023:4850;fofvrg51-nsvn-0eut-ojct-m3nqqb44ojq7;08/05/2023;Wraking;Amsterdam;Civiel recht;De rechtszaak tegen SportsUnited, een invloedrijke sportorganisatie, betrof beschuldigingen van discriminatie tegen vrouwelijke atleten. Verschillende vrouwelijke sporters beweerden dat ze minder steun en financiële middelen kregen dan hun mannelijke tegenhangers, wat leidde tot ongelijkheid in de sport. Het proces bracht de ongelijkheid in de sportwereld aan het licht en resulteerde in een schikking waarbij de sportorganisatie zich ertoe verbond om gelijke kansen te bevorderen voor alle atleten, ongeacht hun geslacht.;ECLI:NL:RBAMS:2023:4850, Amsterdam, 2023-05-08;Uitspraak
NL;ECLI:NL:RBAMS:2023:6415;htwb28cr-idb9-802t-vekg-h09swddgx178;17/09/2023;Kort geding;Amsterdam;Civiel recht;De rechtszaak tegen acteur Michael Stone ging over beschuldigingen van seksueel wangedrag en aanranding door meerdere vrouwen. De vrouwen beweerden dat Stone zijn status en invloed in de entertainmentindustrie had misbruikt om hen te intimideren en aan te vallen. Het proces omvatte schokkende getuigenissen en bewijsmateriaal dat de aanklachten ondersteunde. Uiteindelijk werd Stone schuldig bevonden en veroordeeld tot gevangenisstraf, wat een mijlpaal was in de #MeToo-beweging.;ECLI:NL:RBAMS:2023:6415, Amsterdam, 2023-09-17;Uitspraak
NL;ECLI:NL:RBAMS:2023:6884;fnd8glt1-6eqi-zl27-skys-09a76910rh6v;19/06/2023;Kort geding;Amsterdam;Civiel recht;De rechtszaak tussen AutoTech en Innovaride draaide om inbreuk op octrooirechten en technologische innovatie in de auto-industrie. Beide bedrijven beschuldigden elkaar van het stelen van gepatenteerde technologieën en het ondermijnen van elkaars concurrentiepositie. Het proces omvatte technische experts en juridische specialisten die getuigenissen aflegden over octrooirechten. Uiteindelijk werd een schikking bereikt waarbij beide bedrijven licenties voor elkaars technologieën moesten verlenen, wat de concurrentie in de branche bevorderde.;ECLI:NL:RBAMS:2023:6884, Amsterdam, 2023-06-19;Uitspraak
NL;ECLI:NL:RBAMS:2023:7213;xvx5oxve-1xwl-k02u-ot7q-6u1nwnnemosz;26/05/2023;Hoger beroep;Amsterdam;Civiel recht;De rechtszaak draaide om de voogdij over een uitzonderlijk getalenteerde jonge pianist, Sarah. Haar gescheiden ouders vochten bitter om wie de voogdij zou krijgen, met beiden bewerend dat zij beter in staat waren om Sarah's muzikale talent te ontwikkelen. Het proces omvatte getuigenissen van muziekleraren en psychologen die de belangen van het kind in overweging namen. Uiteindelijk werd besloten dat de voogdij zou worden gedeeld, met zorgvuldige regelingen om Sarah's muzikale groei te ondersteunen.;ECLI:NL:RBAMS:2023:7213, Amsterdam, 2023-05-26;Uitspraak
NL;ECLI:NL:RBAMS:2023:0792;hrnj83ki-ht5g-div2-amee-eub8un3w4qhu;30/05/2023;Hoger beroep;Amsterdam;Civiel recht;De zaak tegen softwareontwikkelaar Alex Greaves draaide om beschuldigingen van diefstal van bedrijfsgeheimen en spionage tegen zijn voormalige werkgever, TechSolutions. Greaves werd ervan beschuldigd waardevolle broncode en klantinformatie te hebben gestolen en doorverkocht aan concurrenten. Het proces omvatte digitale forensische experts en juridische onderzoekers. Greaves werd schuldig bevonden aan bedrijfsspionage en veroordeeld tot gevangenisstraf, wat leidde tot strengere beveiligingsmaatregelen in de technologiebranche.;ECLI:NL:RBAMS:2023:0792, Amsterdam, 2023-05-30;Uitspraak
NL;ECLI:NL:RBAMS:2023:9138;4zwxjvus-4i82-knt7-57ur-6a8az8tjmukm;20/08/2023;Hoger beroep;Amsterdam;Civiel recht;"De rechtszaak tegen chef-kok Alessandro Rossi draaide om beschuldigingen van voedselvergiftiging bij gasten van zijn gerenommeerde restaurant. Meerdere klanten beweerden dat ze ernstig ziek werden na het eten van gerechten in zijn etablissement. Tijdens het proces werd voedselveiligheidsexpertise en getuigenissen van getroffen klanten gepresenteerd. Rossi werd uiteindelijk schuldig bevonden aan nalatigheid en kreeg boetes opgelegd, wat de noodzaak van strenge voedselveiligheidsnormen in de horeca benadrukte.
";ECLI:NL:RBAMS:2023:9138, Amsterdam, 2023-08-20;Uitspraak
NL;ECLI:NL:RBAMS:2023:3538;d7ci8mv9-j2sp-jgqa-cndb-410lgotyj670;03/08/2023;Kort geding;Amsterdam;Civiel recht;De rechtszaak tegen BioPharm Solutions betrof beschuldigingen van het verbergen van ernstige bijwerkingen van een veelgebruikt medicijn. Patiënten beweerden dat het bedrijf opzettelijk informatie over de risico's had achtergehouden en hun gezondheid in gevaar had gebracht. Het proces bracht interne documenten en getuigenissen aan het licht die de beschuldigingen ondersteunden. BioPharm Solutions werd schuldig bevonden en opgelegd om aanzienlijke schadevergoedingen te betalen aan de slachtoffers.;ECLI:NL:RBAMS:2023:3538, Amsterdam, 2023-08-03;Uitspraak
NL;ECLI:NL:RBAMS:2023:5225;qto401q1-nou8-7111-4ysf-ni25smj45yzl;11/05/2023;Kort geding;Amsterdam;Civiel recht;De rechtszaak tegen de beroemde kunstenaar Maria Cortez betrof beschuldigingen van schending van het auteursrecht van een minder bekende kunstenaar. Het proces draaide om het feit dat Cortez een vergelijkbaar kunstwerk had gemaakt dat sterk leek op dat van de minder bekende kunstenaar, wat leidde tot een juridisch geschil over originaliteit en auteursrechten. Na zorgvuldige overweging oordeelde de rechtbank dat er inderdaad sprake was van inbreuk op het auteursrecht, en Cortez werd gedwongen om schadevergoeding te betalen aan de minder bekende kunstenaar.;ECLI:NL:RBAMS:2023:5225, Amsterdam, 2023-05-11;Uitspraak
NL;ECLI:NL:RBAMS:2023:6573;02ht117o-oyp3-bv5o-waqs-wk4to23cyb25;09/03/2023;Hoger beroep;Amsterdam;Civiel recht;De rechtszaak tegen PowerGlobe Energy draaide om beschuldigingen van milieuschade door het illegaal lozen van gevaarlijk chemisch afval. Activisten en milieugroepen beweerden dat het bedrijf de lokale ecosystemen en gemeenschappen ernstig had geschaad. Tijdens het proces werden milieu-experts en getuigenissen van bewoners gepresenteerd, en PowerGlobe Energy werd schuldig bevonden en bevolen om aanzienlijke milieureparaties uit te voeren en boetes te betalen.;ECLI:NL:RBAMS:2023:6573, Amsterdam, 2023-03-09;Uitspraak
NL;ECLI:NL:RBAMS:2023:0662;82x0mvr9-5lc1-fh7q-s8zi-wbk89sws5y2s;19/01/2023;Hoger beroep;Amsterdam;Civiel recht;De rechtszaak tegen senator Jessica Hayes was politiek explosief. Hayes werd beschuldigd van corruptie en het verduisteren van publieke middelen voor persoonlijk gewin. Het proces onthulde financiële onregelmatigheden, geheime rekeningen en documenten die haar betrokkenheid bij corruptie aantoonden. Ondanks hevige politieke druk werd Hayes schuldig bevonden en uit haar ambt gezet, wat een belangrijke mijlpaal was in de strijd tegen corruptie in de politiek.;ECLI:NL:RBAMS:2023:0662, Amsterdam, 2023-01-19;Uitspraak
NL;ECLI:NL:RBAMS:2023:8546;jlxbv3i7-yblm-ojjp-76bg-iixpkcvwpnc4;06/05/2023;Hoger beroep;Amsterdam;Civiel recht;De rechtszaak tegen techmiljardair David Reynolds schokte de financiële wereld. Reynolds werd beschuldigd van grootschalige fraude en belastingontduiking, waarbij hij complexe financiële constructies en offshore-rekeningen gebruikte om zijn vermogen te verbergen. Het proces omvatte financiële experts en onthulde gedetailleerde bewijzen van fraude. Reynolds werd uiteindelijk schuldig bevonden en veroordeeld tot gevangenisstraf en aanzienlijke boetes, wat leidde tot strengere toezichtmaatregelen voor financiële transacties.;ECLI:NL:RBAMS:2023:8546, Amsterdam, 2023-05-06;Uitspraak
NL;ECLI:NL:RBAMS:2023:3913;6m49949b-8nwi-rpno-fn5p-ojyxeef1obaw;21/06/2023;Kort geding;Amsterdam;Civiel recht;"De rechtszaak tegen TobaccoCorp draaide om beschuldigingen dat het bedrijf de schadelijke gevolgen van roken jarenlang had verzwegen. Slachtoffers van tabaksgerelateerde ziekten beweerden dat het bedrijf op de hoogte was van de risico's, maar deze informatie had achtergehouden. Het proces omvatte medische deskundigen en onthulde interne documenten die de beschuldigingen ondersteunden. TobaccoCorp werd schuldig bevonden en veroordeeld tot het betalen van aanzienlijke schadevergoedingen aan de slachtoffers.
";ECLI:NL:RBAMS:2023:3913, Amsterdam, 2023-06-21;Uitspraak
NL;ECLI:NL:RBAMS:2023:9254;aj15v0g2-qd4m-g2pe-zpv0-0omoa0d4xkze;02/05/2023;Kort geding;Amsterdam;Civiel recht;"De rechtszaak tegen NewHorizon University betrof beschuldigingen van discriminatie en wangedrag tegenover studenten, met name minderheidsgroepen. Studenten beweerden dat de universiteit nalatig was geweest in het aanpakken van discriminatie en seksueel wangedrag op de campus. Het proces bracht schokkende getuigenissen en bewijsmateriaal aan het licht, en resulteerde in maatregelen om discriminatie en wangedrag op de campus aan te pakken.
";ECLI:NL:RBAMS:2023:9254, Amsterdam, 2023-05-02;Uitspraak
NL;ECLI:NL:RBAMS:2023:4755;yh7k2clh-l3h6-12yg-4uqr-6j3dlb1c2sua;15/09/2023;Kort geding;Amsterdam;Civiel recht;Het voogdijgeschil tussen de ouders van Emily en haar grootouders bereikte een kritiek punt. De grootouders beweerden dat de ouders ongeschikt waren om voor Emily te zorgen, wat leidde tot een juridische strijd om de voogdij. Tijdens het proces werden psychologische evaluaties en getuigenissen gepresenteerd, wat resulteerde in een emotionele beslissing waarbij de grootouders de tijdelijke voogdij over Emily kregen, met de hoop op herstel van de ouder-kindrelatie.;ECLI:NL:RBAMS:2023:4755, Amsterdam, 2023-09-15;Uitspraak
NL;ECLI:NL:RBAMS:2023:3730;4ee8ecug-ni9d-9uwn-3da1-uvm8fbh26alo;09/06/2023;Hoger beroep;Amsterdam;Civiel recht;De rechtszaak tegen televisiepersoonlijkheid Sarah Mitchell ging over beschuldigingen van laster en smaad. Mitchell had op nationale televisie uitspraken gedaan die schadelijk waren voor het imago van een politicus, die beweerde dat ze leugens verspreidde. Het proces bracht belangrijke kwesties met betrekking tot de vrijheid van meningsuiting en de verantwoordelijkheid van media aan het licht. Uiteindelijk werd Mitchell schuldig bevonden aan laster en smaad en kreeg ze de opdracht om publiekelijk excuses aan te bieden aan de politicus.;ECLI:NL:RBAMS:2023:3730, Amsterdam, 2023-06-09;Uitspraak
NL;ECLI:NL:RBAMS:2023:5395;q62c997k-7npe-w47k-g63z-qcistpp3lqzy;21/03/2023;Hoger beroep;Amsterdam;Civiel recht;De rechtszaak tegen AutoTech Motors betrof beschuldigingen van defecte onderdelen in hun voertuigen die hadden geleid tot een reeks dodelijke ongelukken. Slachtoffers en hun families beweerden dat het bedrijf op de hoogte was van de problemen, maar nalatig was geweest bij het nemen van maatregelen. Het proces omvatte technische experts en getuigenissen van overlevenden. AutoTech Motors werd schuldig bevonden en veroordeeld tot het betalen van aanzienlijke schadevergoedingen aan de slachtoffers en het herzien van hun veiligheidsprocedures.;ECLI:NL:RBAMS:2023:5395, Amsterdam, 2023-03-21;Uitspraak
NL;ECLI:NL:RBAMS:2023:3135;izd8s2kp-5gmn-jb6k-gs8b-519n8jcazrlf;26/02/2023;Wraking;Amsterdam;Civiel recht;De zaak tegen de bekende atleet Michelle Anderson draaide om beschuldigingen van het gebruik van verboden prestatieverhogende middelen tijdens grote sportevenementen. Anderson werd beschuldigd van het schenden van de antidopingregels en het ondermijnen van de integriteit van de sport. Het proces omvatte dopingtests en getuigenissen van sportofficials. Anderson werd schuldig bevonden en geschorst, wat haar carrière ernstig beïnvloedde en leidde tot discussies over eerlijke concurrentie in de sportwereld.;ECLI:NL:RBAMS:2023:3135, Amsterdam, 2023-02-26;Uitspraak
NL;ECLI:NL:RBAMS:2023:6962;93p1y273-vox6-hnzc-j2t9-u7jv983m2r6h;21/04/2023;Kort geding;Amsterdam;Civiel recht;De rechtszaak tegen PetroGlobal Inc. draaide om een grootschalig olielek dat aanzienlijke milieuschade veroorzaakte. Milieugroepen en lokale gemeenschappen beweerden dat het bedrijf nalatig was bij het voorkomen van het lek en onvoldoende maatregelen nam om het te stoppen. Het proces onthulde de omvang van de milieuschade en de inspanningen om het te herstellen. PetroGlobal Inc. werd schuldig bevonden en kreeg strenge boetes opgelegd, wat de noodzaak van strenge milieubescherming benadrukte.;ECLI:NL:RBAMS:2023:6962, Amsterdam, 2023-04-21;Uitspraak
NL;ECLI:NL:RBAMS:2023:0100;o2ncr2am-49u8-ml1g-9v01-3m4u5ry56wqe;24/02/2023;Wraking;Amsterdam;Civiel recht;De rechtszaak van John Mitchell tegen CyberTech Innovations betrof beschuldigingen van onrechtmatig ontslag. Mitchell beweerde dat hij was ontslagen als vergelding voor het melden van vermeende onethische praktijken binnen het bedrijf. Het proces omvatte getuigenissen van Mitchell en voormalige collega's, evenals interne bedrijfsdocumenten. De rechtbank oordeelde in het voordeel van Mitchell en beval CyberTech Innovations om schadevergoeding te betalen voor onrechtmatig ontslag.;ECLI:NL:RBAMS:2023:0100, Amsterdam, 2023-02-24;Uitspraak
NL;ECLI:NL:RBAMS:2023:2807;cx2vzbin-bes7-al6c-orlz-vw8yqj445kdd;16/02/2023;Hoger beroep;Amsterdam;Civiel recht;De rechtszaak tegen de gerenommeerde journalist Sarah Davis betrof beschuldigingen van schending van journalistieke ethiek en schending van privacy. Davis had verslag gedaan van een gevoelige zaak met betrekking tot privégegevens van individuen zonder hun toestemming, wat leidde tot ernstige inbreuk op hun privacy. Het proces bracht belangrijke kwesties van persvrijheid en ethiek in de journalistiek aan het licht. Davis werd schuldig bevonden aan schending van journalistieke ethiek en kreeg een berisping, wat leidde tot een discussie over verantwoordelijke journalistiek.;ECLI:NL:RBAMS:2023:2807, Amsterdam, 2023-02-16;Uitspraak
